statnm,statid,chgerid,chgertype,addrdoro,lat,lng,usetime,stat
예금보험공사,ME19A254,22,04,서울특별시 중구 청계천로 30,37.5684947016062,126.980793568,24시간 이용가능,2
강화경기장,ME19A255,22,04,인천광역시 강화군 강화읍 강화대로 603,37.7550888,126.468875099999,24시간 이용가능,1
강화경기장,ME19A255,21,04,인천광역시 강화군 강화읍 강화대로 603,37.7550888,126.468875099999,24시간 이용가능,1
대룡리 공영주차장,ME19A256,22,04,인천광역시 강화군 교동면 대룡리 466-19,37.7817600000026,126.2785154,24시간 이용가능,2
대룡리 공영주차장,ME19A256,21,04,인천광역시 강화군 교동면 대룡리 466-19,37.7817600000026,126.2785154,24시간 이용가능,2
문화예술회관공영주차장,ME19A257,22,04,인천광역시 남동구 예술로 149,37.4440215,126.699631899999,24시간 이용가능,2
문화예술회관공영주차장,ME19A257,21,04,인천광역시 남동구 예술로 149,37.4440215,126.699631899999,24시간 이용가능,2
근로복지공단 인천북부지사,ME19A258,21,04,인천광역시 부평구 무네미로 478,37.4789139999997,126.753177999,09:00~18:00,2
근로복지공단 인천북부지사,ME19A258,22,04,인천광역시 부평구 무네미로 478,37.4789139999997,126.753177999,09:00~18:00,2
인천환경공단 가좌사업소,ME19A259,21,04,인천광역시 서구 중봉대로211,37.4978561,126.647653999999,24시간 이용가능,2
인천환경공단 가좌사업소,ME19A259,22,04,인천광역시 서구 중봉대로211,37.4978561,126.647653999999,24시간 이용가능,3
여성의광장,ME19A260,21,04,인천광역시 연수구 앵고개로 183,37.41232699999,126.6654825,24시간 이용가능,2
여성의광장,ME19A260,22,04,인천광역시 연수구 앵고개로 183,37.41232699999,126.6654825,24시간 이용가능,3
송도컨벤시아,ME19A261,22,04,인천광역시 연수구 센트럴로 123,37.3887763,126.646217999999,24시간 이용가능,2
송도컨벤시아,ME19A261,21,04,인천광역시 연수구 센트럴로 123,37.3887763,126.646217999999,24시간 이용가능,2
시립박물관주변 공영주차장,ME19A262,22,04,인천광역시 연수구 청량로 165,37.4213960000001,126.652185799,24시간 이용가능,2
시립박물관주변 공영주차장,ME19A262,21,04,인천광역시 연수구 청량로 165,37.4213960000001,126.652185799,24시간 이용가능,2
월미도 공영주차장,ME19A263,21,04,인천광역시 중구 반달로 20,37.475304,126.6018057,24시간 이용가능,2
월미도 공영주차장,ME19A263,22,04,인천광역시 중구 반달로 20,37.475304,126.6018057,24시간 이용가능,2
인천환경공단 운북사업소,ME19A264,21,04,인천광역시 중구 영종해안북로 1204번길 105,37.5137173058707,126.497041025,24시간 이용가능,2
인천환경공단 운북사업소,ME19A264,22,04,인천광역시 중구 영종해안북로 1204번길 105,37.5137173058707,126.497041025,24시간 이용가능,2
양화진 공영주차장,ME19A265,21,04,서울특별시 마포구 토정로 2,37.5455023695556,126.911413488,24시간 이용가능,3
양화진 공영주차장,ME19A265,22,04,서울특별시 마포구 토정로 2,37.5455023695556,126.911413488,24시간 이용가능,3
망상해수욕장 2주차장,ME19A266,22,04,강원도 동해시 망상동 393-14,37.5931551379558,129.088051598,24시간 이용가능,2
망상해수욕장 2주차장,ME19A266,21,04,강원도 동해시 망상동 393-14,37.5931551379558,129.088051598,24시간 이용가능,2
왕산 공영주차장,ME19A267,22,04,인천광역시 중구 을왕동 808-5,37.445036258771,126.3754819015,24시간 이용가능,2
왕산 공영주차장,ME19A267,21,04,인천광역시 중구 을왕동 808-5,37.445036258771,126.3754819015,24시간 이용가능,2
정부인천지방합동청사,ME19A268,01,04,인천광역시 미추홀구 석정로 239,37.4694207622208,126.661668191,09:00~18:00,1
정부인천지방합동청사,ME19A268,02,04,인천광역시 미추홀구 석정로 239,37.4694207622208,126.661668191,09:00~18:00,1
청소년수련관,ME19A269,21,04,경기도 남양주시 다산지금로 51-47,37.6086688,127.178725999999,24시간 이용가능,3
청소년수련관,ME19A269,22,04,경기도 남양주시 다산지금로 51-47,37.6086688,127.178725999999,24시간 이용가능,3
진접체육문화센터,ME19A270,22,04,경기도 남양주시 진접읍 금강로 1509-24,37.7266812,127.1903125,24시간 이용가능,2
진접체육문화센터,ME19A270,21,04,경기도 남양주시 진접읍 금강로 1509-24,37.7266812,127.1903125,24시간 이용가능,2
삼산월드체육관,ME19A271,22,04,인천광역시 부평구 체육관로 60,37.5077355790048,126.737649306,07:00~21:00,3
삼산월드체육관,ME19A271,21,04,인천광역시 부평구 체육관로 60,37.5077355790048,126.737649306,07:00~21:00,2
한국폴리텍대학 남인천캠퍼스,ME19A272,21,04,인천광역시 미추홀구 염전로333번길 23,37.4720946725409,126.677284714,24시간 이용가능,2
한국폴리텍대학 남인천캠퍼스,ME19A272,22,04,인천광역시 미추홀구 염전로333번길 23,37.4720946725409,126.677284714,24시간 이용가능,2
한국폴리텍대학 안성캠퍼스,ME19A273,22,04,경기도 안성시 공도읍 송원길 41-12,37.0083899314628,127.174820429,07:00~24:00,1
한국폴리텍대학 안성캠퍼스,ME19A273,21,04,경기도 안성시 공도읍 송원길 41-12,37.0083899314628,127.174820429,07:00~24:00,1
롯데마트 은평점,ME19A274,22,04,서울특별시 은평구 통일로 1050,37.6374578,126.9175874,07:00~23:30,2
롯데마트 은평점,ME19A274,21,04,서울특별시 은평구 통일로 1050,37.6374578,126.9175874,07:00~23:30,2
롯데마트 인천터미널점,ME19A275,21,04,인천광역시 미추홀구 관교동 12,37.442445991,126.70153531,08:00~01:00,2
롯데마트 인천터미널점,ME19A275,22,04,인천광역시 미추홀구 관교동 12,37.442445991,126.70153531,08:00~01:00,2
홈플러스 인천청라점,ME19A276,21,04,인천광역시 서구 중봉대로 587,37.5324313980961,126.648259288,10:00~24:00,1
홈플러스 인천청라점,ME19A276,22,04,인천광역시 서구 중봉대로 587,37.5324313980961,126.648259288,10:00~24:00,1
논현초교 공영노외주차장,ME19A277,22,04,서울특별시 강남구 강남대로120길 33,37.5082482,127.026765699999,24시간 이용가능,1
논현초교 공영노외주차장,ME19A277,21,04,서울특별시 강남구 강남대로120길 33,37.5082482,127.026765699999,24시간 이용가능,1
강남치매지원센터 공영노외주차장,ME19A278,22,04,서울특별시 강남구 선릉로108길 27,37.5100034,127.046051799999,24시간 이용가능,2
강남치매지원센터 공영노외주차장,ME19A278,21,04,서울특별시 강남구 선릉로108길 27,37.5100034,127.046051799999,24시간 이용가능,2
구리남양주 교육지원청,ME19A301,02,04,경기도 남양주시 경춘로 520,37.6107199999999,127.170369899,24시간 이용가능,1
구리남양주 교육지원청,ME19A301,03,04,경기도 남양주시 경춘로 520,37.6107199999999,127.170369899,24시간 이용가능,1
구리남양주 교육지원청,ME19A301,01,04,경기도 남양주시 경춘로 520,37.6107199999999,127.170369899,24시간 이용가능,1
진부공영주차장,ME19A401,23,04,강원도 평창군 진부면 경강로3562,37.6345292123455,128.558117177,24시간 이용가능,2
진부공영주차장,ME19A401,21,04,강원도 평창군 진부면 경강로3562,37.6345292123455,128.558117177,24시간 이용가능,2
진부공영주차장,ME19A401,22,04,강원도 평창군 진부면 경강로3562,37.6345292123455,128.558117177,24시간 이용가능,2
진부공영주차장,ME19A401,24,04,강원도 평창군 진부면 경강로3562,37.6345292123455,128.558117177,24시간 이용가능,2
중소기업연수원,ME19A402,23,04,경기도 안산시 단원구 연수원로 87,37.285224537984,126.7987335628,09:00~18:00,2
중소기업연수원,ME19A402,22,04,경기도 안산시 단원구 연수원로 87,37.285224537984,126.7987335628,09:00~18:00,2
중소기업연수원,ME19A402,21,04,경기도 안산시 단원구 연수원로 87,37.285224537984,126.7987335628,09:00~18:00,2
중소기업연수원,ME19A402,24,04,경기도 안산시 단원구 연수원로 87,37.285224537984,126.7987335628,09:00~18:00,2
월피동29호무료주차장,ME19A403,43,04,경기도 안산시 월피동 483-10,37.3387704398414,126.849805975,24시간 이용가능,1
월피동29호무료주차장,ME19A403,44,04,경기도 안산시 월피동 483-10,37.3387704398414,126.849805975,24시간 이용가능,2
월피동29호무료주차장,ME19A403,42,04,경기도 안산시 월피동 483-10,37.3387704398414,126.849805975,24시간 이용가능,1
월피동29호무료주차장,ME19A403,41,04,경기도 안산시 월피동 483-10,37.3387704398414,126.849805975,24시간 이용가능,2
하남유니온파크,ME19A404,24,04,경기도 하남시 신장동 27,37.5473027137716,127.221496198,24시간 이용가능,2
하남유니온파크,ME19A404,21,04,경기도 하남시 신장동 27,37.5473027137716,127.221496198,24시간 이용가능,1
하남유니온파크,ME19A404,23,04,경기도 하남시 신장동 27,37.5473027137716,127.221496198,24시간 이용가능,3
하남유니온파크,ME19A404,22,04,경기도 하남시 신장동 27,37.5473027137716,127.221496198,24시간 이용가능,1
자동차안전연구원,ME19A405,41,04,경기도 화성시 송산면 삼존로 200,37.2282175593568,126.768725394,24시간 이용가능,2
자동차안전연구원,ME19A405,44,04,경기도 화성시 송산면 삼존로 200,37.2282175593568,126.768725394,24시간 이용가능,3
자동차안전연구원,ME19A405,42,04,경기도 화성시 송산면 삼존로 200,37.2282175593568,126.768725394,24시간 이용가능,2
자동차안전연구원,ME19A405,43,04,경기도 화성시 송산면 삼존로 200,37.2282175593568,126.768725394,24시간 이용가능,2
스타필드 부천점1,ME19A406,24,04,경기도 부천시 옥길로 1,37.4615704131724,126.81464245,10:00~23:00,2
스타필드 부천점1,ME19A406,23,04,경기도 부천시 옥길로 1,37.4615704131724,126.81464245,10:00~23:00,2
스타필드 부천점1,ME19A406,21,04,경기도 부천시 옥길로 1,37.4615704131724,126.81464245,10:00~23:00,1
스타필드 부천점1,ME19A406,22,04,경기도 부천시 옥길로 1,37.4615704131724,126.81464245,10:00~23:00,1
망원동 공영주차장1,ME19A601,25,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
망원동 공영주차장1,ME19A601,23,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
망원동 공영주차장1,ME19A601,24,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
망원동 공영주차장1,ME19A601,21,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
망원동 공영주차장1,ME19A601,26,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
망원동 공영주차장1,ME19A601,22,04,서울특별시 마포구 동교로1길 39,37.55503247,126.89778505,24시간 이용가능,1
압구정 428 공영주차장1,ME19A801,06,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,2
광주김치타운,ME19B254,22,04,광주광역시 남구 김치로 60,35.107348,126.867658,24시간 이용가능,3
압구정 428 공영주차장1,ME19A801,04,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,2
