statnm,statid,chgerid,chgertype,addrdoro,lat,lng,usetime,stat
마령면사무소 주차장,ME19B166,01,04,전라북도 진안군 마령면 솔안2길 8,35.734373,127.370357,24시간 이용가능,2
주천면사무소 주차장,ME19B167,01,04,전라북도 진안군 주천면 동상주천로 2213,35.974992,127.425836,24시간 이용가능,2
한국수자원공사 용담지사,ME19B168,01,04,전라북도 진안군 안천면 삼락리 1102-5,35.944565,127.529363,24시간 이용가능,2
서귀포보건소,ME19B169,01,04,제주특별자치도 서귀포시 중앙로 101번길 52,33.253073,126.555591,24시간 이용가능,2
남원119센터,ME19B170,01,04,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23,33.281416,126.708647,24시간 이용가능,2
홍로공영주차장,ME19B171,01,04,제주특별자치도 서귀포시 동홍동 1480-6,33.255905,126.560863,24시간 이용가능,1
서귀포시 교통행정과(공영버스 차고지),ME19B172,01,04,제주특별자치도 서귀포시 토평공단로 20,33.284338,126.588341,24시간 이용가능,2
국민건강보험공단 서귀포지사,ME19B173,01,04,제주특별자치도 서귀포시 신서귀로 51번길 38,33.254949,126.507328,24시간 이용가능,2
용담1동주민센터,ME19B174,11,04,제주특별자치도 제주시 용남3길 7,33.509217,126.513524,24시간 이용가능,2
용담1동주민센터,ME19B174,12,04,제주특별자치도 제주시 용남3길 7,33.509217,126.513524,24시간 이용가능,2
라마다프라자제주호텔,ME19B175,01,04,제주특별자치도 제주시 탑동로 66,33.518486,126.518645,24시간 이용가능,2
성북동 금빛상가공영주차장,ME19B176,12,04,전라남도 나주시 성북동 207,35.033597,126.719072,24시간 이용가능,2
